Venue,Date,Team_A,Team_B,Team_A_Ranking,Team_B_Ranking,Winner,Team_A_Score,Team_A_Wickets_Lost,Team_B_Score,Team_B_Wickets_Lost,Is_Home_Team_A,Is_Home_Team_B,Toss_Winner,Toss_Decision
Sir Vivian Richards Stadium,2010-05-19,West Indies,South Africa,6,4,South Africa,123,10,136,7,1,0,West Indies,field
Dubai International Cricket Stadium,2010-02-09,Afghanistan,Ireland,10,11,Afghanistan,139,8,126,10,0,0,Ireland,field
Dubai International Cricket Stadium,2010-02-09,Canada,Netherlands,23,15,Netherlands,142,8,146,4,0,0,Canada,bat
Dubai International Cricket Stadium,2010-02-11,Ireland,Scotland,11,13,Ireland,136,7,99,10,0,0,Ireland,bat
Dubai International Cricket Stadium,2010-02-12,Afghanistan,Netherlands,10,15,Netherlands,128,9,132,6,0,0,Netherlands,field
Dubai International Cricket Stadium,2010-02-13,Ireland,Netherlands,11,15,Ireland,151,6,86,10,0,0,Ireland,bat
Dubai International Cricket Stadium,2010-02-13,Afghanistan,Ireland,10,11,Afghanistan,147,2,142,8,0,0,Ireland,bat
Dubai International Cricket Stadium,2010-02-19,England,Pakistan,3,7,England,130,3,129,8,0,0,Pakistan,bat
Dubai International Cricket Stadium,2010-02-20,England,Pakistan,3,7,Pakistan,148,6,149,6,0,0,Pakistan,field
Western Australia Cricket Association Ground,2010-10-31,Australia,Sri Lanka,2,8,Sri Lanka,133,8,135,3,0,0,Australia,bat
Adelaide Oval,2011-01-12,Australia,England,2,3,England,157,4,158,9,0,0,Australia,bat
Melbourne Cricket Ground,2011-01-14,Australia,England,2,3,Australia,147,7,143,6,0,0,Australia,bat
Sir Vivian Richards Stadium,2010-05-20,West Indies,South Africa,6,4,South Africa,119,7,120,7,1,0,West Indies,field
Central Broward Regional Park Stadium Turf Ground,2010-05-22,New Zealand,Sri Lanka,5,8,New Zealand,120,7,92,10,0,0,New Zealand,bat
Central Broward Regional Park Stadium Turf Ground,2010-05-23,New Zealand,Sri Lanka,5,8,Sri Lanka,81,10,82,3,0,0,New Zealand,bat
Sheikh Zayed Stadium,2010-10-27,Pakistan,South Africa,7,4,South Africa,120,9,125,4,0,0,Pakistan,bat
Moses Mabhida Stadium,2011-01-09,South Africa,India,4,1,India,147,9,168,6,0,0,India,bat
Eden Park,2010-12-26,New Zealand,Pakistan,5,7,New Zealand,146,5,143,9,0,0,New Zealand,field
Seddon Park,2010-12-28,New Zealand,Pakistan,5,7,New Zealand,185,7,146,9,0,0,Pakistan,field
AMI Stadium,2010-12-30,New Zealand,Pakistan,5,7,Pakistan,80,10,183,6,0,0,Pakistan,bat
County Ground,2011-06-25,England,Sri Lanka,3,8,Sri Lanka,136,9,137,1,0,0,Sri Lanka,field
Old Trafford,2011-08-31,England,India,3,1,England,169,4,165,10,0,0,India,bat
Sheikh Zayed Stadium,2010-10-26,Pakistan,South Africa,7,4,South Africa,119,10,120,4,0,0,Pakistan,bat
Beausejour Stadium,2011-04-21,West Indies,Pakistan,6,7,West Indies,150,7,143,9,1,0,West Indies,bat
Queen's Park Oval,2011-06-04,West Indies,India,6,1,India,143,5,159,6,1,0,West Indies,field
Newlands,2011-10-13,South Africa,Australia,4,2,Australia,146,7,147,5,0,0,South Africa,bat
New Wanderers Stadium,2011-10-16,South Africa,Australia,4,2,South Africa,148,7,147,8,0,0,Australia,bat
Pallekele International Cricket Stadium,2011-08-06,Sri Lanka,Australia,8,2,Sri Lanka,198,3,163,8,0,0,Australia,field
Pallekele International Cricket Stadium,2011-08-08,Sri Lanka,Australia,8,2,Sri Lanka,157,9,149,9,0,0,Sri Lanka,bat
Stadium Australia,2012-02-01,Australia,India,2,1,Australia,171,4,140,6,0,0,India,field
Melbourne Cricket Ground,2012-02-03,Australia,India,2,1,India,131,10,135,2,0,0,Australia,bat
Westpac Stadium,2012-02-17,New Zealand,South Africa,5,4,New Zealand,148,4,147,6,0,0,New Zealand,field
Seddon Park,2012-02-19,New Zealand,South Africa,5,4,South Africa,173,4,174,2,0,0,South Africa,field
Eden Park,2012-02-22,New Zealand,South Africa,5,4,South Africa,162,7,165,7,0,0,New Zealand,field
Eden Gardens,2011-10-29,India,England,1,3,England,120,9,121,4,0,0,India,bat
Kennington Oval,2011-09-23,England,West Indies,3,6,England,128,0,125,10,0,1,England,field
Kennington Oval,2011-09-25,England,West Indies,3,6,West Indies,88,10,113,5,0,1,England,field
Sheikh Zayed Stadium,2011-11-25,Pakistan,Sri Lanka,7,8,Pakistan,142,5,141,10,0,0,Sri Lanka,bat
Dubai International Cricket Stadium,2012-02-23,England,Pakistan,3,7,Pakistan,136,6,144,6,0,0,England,field
Dubai International Cricket Stadium,2012-02-25,England,Pakistan,3,7,England,150,7,112,10,0,0,England,bat
Sheikh Zayed Stadium,2012-02-27,England,Pakistan,3,7,England,129,6,124,6,0,0,England,bat
Shere Bangla National Stadium,2011-10-11,Bangladesh,West Indies,9,6,Bangladesh,135,7,132,8,0,1,Bangladesh,field
R Premadasa Stadium,2012-09-19,Australia,Ireland,2,11,Australia,125,3,123,7,0,0,Ireland,bat
R Premadasa Stadium,2012-09-19,Afghanistan,India,10,1,India,136,10,159,5,0,0,Afghanistan,field
Pallekele International Cricket Stadium,2012-09-21,Bangladesh,New Zealand,9,5,New Zealand,132,8,191,3,0,0,Bangladesh,field
R Premadasa Stadium,2012-09-21,Afghanistan,England,10,3,England,80,10,196,5,0,0,Afghanistan,field
Mahinda Rajapaksa International Cricket Stadium,2012-09-22,Sri Lanka,South Africa,8,4,South Africa,46,5,78,4,0,0,Sri Lanka,field
R Premadasa Stadium,2012-09-22,Australia,West Indies,2,6,Australia,100,1,191,8,0,1,West Indies,bat
Pallekele International Cricket Stadium,2012-09-23,New Zealand,Pakistan,5,7,Pakistan,164,9,177,6,0,0,Pakistan,bat
R Premadasa Stadium,2012-09-23,England,India,3,1,India,80,10,170,4,0,0,England,field
R Premadasa Stadium,2012-09-24,Ireland,West Indies,11,6,,129,6,0,0,0,1,West Indies,field
Pallekele International Cricket Stadium,2012-09-25,Bangladesh,Pakistan,9,7,Pakistan,175,6,178,2,0,0,Bangladesh,bat
Pallekele International Cricket Stadium,2012-09-27,Sri Lanka,New Zealand,8,5,,187,7,181,8,0,0,New Zealand,bat
Pallekele International Cricket Stadium,2012-09-27,England,West Indies,3,6,West Indies,164,4,179,5,0,1,West Indies,bat
R Premadasa Stadium,2012-09-28,Pakistan,South Africa,7,4,Pakistan,136,8,133,6,0,0,South Africa,bat
R Premadasa Stadium,2012-09-28,Australia,India,2,1,Australia,141,1,140,7,0,0,India,bat
Pallekele International Cricket Stadium,2012-09-29,England,New Zealand,3,5,England,149,4,148,6,0,0,New Zealand,bat
Pallekele International Cricket Stadium,2012-09-29,Sri Lanka,West Indies,8,6,Sri Lanka,130,1,129,5,0,1,West Indies,bat
R Premadasa Stadium,2012-09-30,Australia,South Africa,2,4,Australia,147,2,146,5,0,0,Australia,field
R Premadasa Stadium,2012-09-30,India,Pakistan,1,7,India,129,2,128,10,0,0,Pakistan,bat
Pallekele International Cricket Stadium,2012-10-01,New Zealand,West Indies,5,6,,156,7,158,10,0,1,New Zealand,field
Pallekele International Cricket Stadium,2012-10-01,Sri Lanka,England,8,3,Sri Lanka,169,6,150,9,0,0,England,field
R Premadasa Stadium,2012-10-02,Australia,Pakistan,2,7,Pakistan,117,7,149,6,0,0,Australia,field
R Premadasa Stadium,2012-10-02,India,South Africa,1,4,India,152,6,151,10,0,0,South Africa,field
R Premadasa Stadium,2012-10-04,Sri Lanka,Pakistan,8,7,Sri Lanka,139,4,123,7,0,0,Sri Lanka,bat
R Premadasa Stadium,2012-10-05,Australia,West Indies,2,6,West Indies,131,10,205,4,0,1,West Indies,bat
R Premadasa Stadium,2012-10-07,Sri Lanka,West Indies,8,6,West Indies,101,10,137,6,0,1,West Indies,bat
Trent Bridge,2012-06-24,England,West Indies,3,6,England,173,3,172,4,0,1,West Indies,bat
Riverside Ground,2012-09-08,England,South Africa,3,4,South Africa,118,7,119,3,0,0,South Africa,field
Old Trafford,2012-09-10,England,South Africa,3,4,,29,2,77,5,0,0,England,field
Edgbaston,2012-09-12,England,South Africa,3,4,England,118,5,90,5,0,0,South Africa,field
Shere Bangla National Stadium,2011-11-29,Bangladesh,Pakistan,9,7,Pakistan,85,9,135,7,0,0,Pakistan,bat
Beausejour Stadium,2012-03-27,West Indies,Australia,6,2,Australia,150,7,153,2,1,0,West Indies,bat
Kensington Oval,2012-03-30,West Indies,Australia,6,2,West Indies,160,10,146,9,1,0,West Indies,bat
Dubai International Cricket Stadium,2012-03-13,Canada,Netherlands,23,15,Netherlands,93,10,135,6,0,0,Netherlands,bat
Dubai International Cricket Stadium,2012-03-14,Afghanistan,Netherlands,10,15,Afghanistan,150,6,149,6,0,0,Netherlands,bat
Dubai International Cricket Stadium,2012-03-18,Ireland,Scotland,11,13,Ireland,159,5,142,7,0,0,Ireland,bat
ICC Global Cricket Academy,2012-03-18,Afghanistan,Canada,10,23,Afghanistan,174,8,133,9,0,0,Afghanistan,bat
Dubai International Cricket Stadium,2012-03-22,Canada,Ireland,23,11,Ireland,106,8,109,0,0,0,Canada,bat
Dubai International Cricket Stadium,2012-03-23,Ireland,Netherlands,11,15,Ireland,115,3,114,7,0,0,Ireland,field
Dubai International Cricket Stadium,2012-03-23,Canada,Scotland,23,13,Scotland,135,8,136,6,0,0,Canada,bat
Dubai International Cricket Stadium,2012-03-24,Afghanistan,Ireland,10,11,Ireland,152,7,156,5,0,0,Afghanistan,bat
New Wanderers Stadium,2012-03-30,South Africa,India,4,1,South Africa,219,4,71,0,0,0,India,field
Central Broward Regional Park Stadium Turf Ground,2012-06-30,New Zealand,West Indies,5,6,West Indies,153,9,209,2,0,1,New Zealand,field
Central Broward Regional Park Stadium Turf Ground,2012-07-01,New Zealand,West Indies,5,6,West Indies,116,10,177,5,0,1,West Indies,bat
Mahinda Rajapaksa International Cricket Stadium,2012-06-01,Sri Lanka,Pakistan,8,7,Sri Lanka,132,7,95,10,0,0,Sri Lanka,bat
Mahinda Rajapaksa International Cricket Stadium,2012-06-03,Sri Lanka,Pakistan,8,7,Pakistan,99,10,122,6,0,0,Pakistan,bat
Pallekele International Cricket Stadium,2012-08-07,Sri Lanka,India,8,1,India,116,10,155,3,0,0,Sri Lanka,field
Subrata Roy Sahara Stadium,2012-12-20,India,England,1,3,India,158,5,157,6,0,0,India,field
Wankhede Stadium,2012-12-22,India,England,1,3,England,177,8,181,4,0,0,England,field
MA Chidambaram Stadium,2012-09-11,India,New Zealand,1,5,New Zealand,166,4,167,5,0,0,India,field
Kennington Oval,2013-06-25,England,New Zealand,3,5,New Zealand,196,5,201,4,0,0,England,field
Kennington Oval,2013-06-27,England,New Zealand,3,5,,2,1,0,0,0,0,New Zealand,field
The Rose Bowl,2013-08-29,England,Australia,3,2,Australia,209,6,248,6,0,0,England,field
Riverside Ground,2013-08-31,England,Australia,3,2,England,195,5,168,9,0,0,Australia,field
Civil Service Cricket Club,2012-07-18,Ireland,Bangladesh,11,9,Bangladesh,119,8,190,5,0,0,Ireland,field
Sportpark Westvliet,2012-07-25,Netherlands,Bangladesh,15,9,Bangladesh,144,7,145,2,0,0,Netherlands,bat
Kingsmead,2012-12-21,South Africa,New Zealand,4,5,South Africa,87,2,86,10,0,0,New Zealand,bat
Buffalo Park,2012-12-23,South Africa,New Zealand,4,5,New Zealand,165,5,169,2,0,0,New Zealand,field
St George's Park,2012-12-26,South Africa,New Zealand,4,5,South Africa,179,6,146,9,0,0,South Africa,bat
SuperSport Park,2013-03-03,South Africa,Pakistan,4,7,Pakistan,100,10,195,7,0,0,Pakistan,bat
Eden Park,2013-02-09,New Zealand,England,5,3,England,174,9,214,7,0,0,New Zealand,field
Seddon Park,2013-02-12,New Zealand,England,5,3,New Zealand,192,6,137,10,0,0,England,field
Westpac Stadium,2013-02-15,New Zealand,England,5,3,England,139,8,143,0,0,0,England,field
Dubai International Cricket Stadium,2012-09-05,Australia,Pakistan,2,7,Pakistan,89,10,90,3,0,0,Pakistan,field
Dubai International Cricket Stadium,2012-09-07,Australia,Pakistan,2,7,,162,9,163,4,0,0,Pakistan,bat
Dubai International Cricket Stadium,2012-09-10,Australia,Pakistan,2,7,Australia,168,7,74,10,0,0,Pakistan,field
Stadium Australia,2013-01-26,Australia,Sri Lanka,2,8,Sri Lanka,137,3,139,5,0,0,Australia,bat
Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka,2,8,Sri Lanka,119,3,161,4,0,0,Australia,field
Brisbane Cricket Ground,2013-02-13,Australia,West Indies,2,6,West Indies,164,8,191,6,0,1,West Indies,bat
Sportpark Westvliet,2012-07-26,Netherlands,Bangladesh,15,9,Netherlands,131,9,128,10,0,0,Bangladesh,bat
Pallekele International Cricket Stadium,2012-10-30,Sri Lanka,New Zealand,8,5,,6,0,74,7,0,0,Sri Lanka,field
Shere Bangla National Stadium,2012-12-10,Bangladesh,West Indies,9,6,West Indies,179,1,197,4,0,1,West Indies,bat
M Chinnaswamy Stadium,2012-12-25,India,Pakistan,1,7,Pakistan,133,9,134,5,0,0,Pakistan,field
Sardar Patel Stadium,2012-12-28,India,Pakistan,1,7,India,192,5,181,7,0,0,Pakistan,field
Sharjah Cricket Stadium,2013-03-03,Afghanistan,Scotland,10,13,Afghanistan,132,7,105,6,0,0,Afghanistan,bat
Sharjah Cricket Stadium,2013-03-04,Afghanistan,Scotland,10,13,Afghanistan,140,3,139,7,0,0,Scotland,bat
Pallekele International Cricket Stadium,2013-03-31,Sri Lanka,Bangladesh,8,9,Sri Lanka,198,5,181,7,0,0,Bangladesh,field
R Premadasa Stadium,2013-08-02,Sri Lanka,South Africa,8,4,South Africa,103,9,115,6,0,0,South Africa,bat
Mahinda Rajapaksa International Cricket Stadium,2013-08-04,Sri Lanka,South Africa,8,4,South Africa,123,7,145,6,0,0,South Africa,bat
Mahinda Rajapaksa International Cricket Stadium,2013-08-06,Sri Lanka,South Africa,8,4,Sri Lanka,164,4,163,3,0,0,South Africa,bat
Bellerive Oval,2014-01-29,Australia,England,2,3,Australia,213,4,200,9,0,0,Australia,bat
Melbourne Cricket Ground,2014-01-31,Australia,England,2,3,Australia,131,2,130,9,0,0,England,bat
Stadium Australia,2014-02-02,Australia,England,2,3,Australia,195,6,111,10,0,0,Australia,bat
Kensington Oval,2014-03-09,West Indies,England,6,3,West Indies,170,3,143,9,1,0,West Indies,bat
Kensington Oval,2014-03-11,West Indies,England,6,3,West Indies,155,5,152,7,1,0,England,bat
Kensington Oval,2014-03-13,West Indies,England,6,3,England,160,7,165,6,1,0,England,bat
Arnos Vale Ground,2013-07-27,West Indies,Pakistan,6,7,Pakistan,152,7,158,8,1,0,West Indies,bat
Arnos Vale Ground,2013-07-28,West Indies,Pakistan,6,7,Pakistan,124,9,135,7,1,0,Pakistan,bat
Saurashtra Cricket Association Stadium,2013-10-10,India,Australia,1,2,India,202,4,201,7,0,0,India,field
Kingsmead,2014-03-12,South Africa,Australia,4,2,Australia,80,1,81,5,0,0,Australia,field
SuperSport Park,2014-03-14,South Africa,Australia,4,2,Australia,128,7,129,4,0,0,Australia,field
Dubai International Cricket Stadium,2013-11-13,Pakistan,South Africa,7,4,South Africa,98,9,99,1,0,0,Pakistan,bat
Dubai International Cricket Stadium,2013-11-15,Pakistan,South Africa,7,4,South Africa,144,9,150,5,0,0,South Africa,bat
Sharjah Cricket Stadium,2013-12-08,Afghanistan,Pakistan,10,7,Pakistan,137,8,138,4,0,0,Afghanistan,bat
Dubai International Cricket Stadium,2013-12-11,Pakistan,Sri Lanka,7,8,Pakistan,146,7,145,5,0,0,Pakistan,field
Dubai International Cricket Stadium,2013-12-13,Pakistan,Sri Lanka,7,8,Sri Lanka,187,10,211,3,0,0,Pakistan,field
Sharjah Cricket Stadium,2013-11-15,Afghanistan,Netherlands,10,15,Netherlands,90,10,92,3,0,0,Afghanistan,bat
Sheikh Zayed Stadium,2013-11-16,Canada,Ireland,23,11,Ireland,166,3,168,5,0,0,Canada,field
Sharjah Cricket Stadium,2013-11-16,Afghanistan,Scotland,10,13,Afghanistan,171,6,154,6,0,0,Afghanistan,bat
ICC Academy,2013-11-22,Netherlands,Scotland,15,13,Scotland,150,6,165,4,0,0,Netherlands,field
Sheikh Zayed Stadium,2013-11-28,Netherlands,Scotland,15,13,Netherlands,149,2,147,6,0,0,Scotland,bat
Sheikh Zayed Stadium,2013-11-30,Afghanistan,Ireland,10,11,Ireland,157,10,225,7,0,0,Ireland,bat
Eden Park,2014-01-11,New Zealand,West Indies,5,6,New Zealand,189,5,108,8,0,1,New Zealand,bat
Westpac Stadium,2014-01-15,New Zealand,West Indies,5,6,New Zealand,163,6,159,5,0,1,West Indies,bat
Edgbaston,2014-09-07,England,India,3,1,England,180,7,177,5,0,0,England,bat
Kennington Oval,2014-05-20,England,Sri Lanka,3,8,Sri Lanka,174,7,183,7,0,0,England,field
Shere Bangla National Stadium,2013-11-06,Bangladesh,New Zealand,9,5,New Zealand,189,9,204,5,0,0,New Zealand,bat
Pallekele International Cricket Stadium,2013-11-21,Sri Lanka,New Zealand,8,5,Sri Lanka,143,2,142,7,0,0,Sri Lanka,field
Shere Bangla National Stadium,2014-03-16,Bangladesh,Afghanistan,9,10,Bangladesh,78,1,72,10,0,0,Bangladesh,field
Zahur Ahmed Chowdhury Stadium,2014-03-18,Bangladesh,Nepal,9,17,Bangladesh,132,2,126,5,0,0,Bangladesh,field
Zahur Ahmed Chowdhury Stadium,2014-03-20,Afghanistan,Nepal,10,17,Nepal,132,8,141,5,0,0,Afghanistan,field
Sylhet Stadium,2014-03-21,Ireland,Netherlands,11,15,Netherlands,189,4,193,4,0,0,Netherlands,field
Shere Bangla National Stadium,2014-03-21,India,Pakistan,1,7,India,131,3,130,7,0,0,India,field
Zahur Ahmed Chowdhury Stadium,2014-03-22,South Africa,Sri Lanka,4,8,Sri Lanka,160,8,165,7,0,0,Sri Lanka,bat
Zahur Ahmed Chowdhury Stadium,2014-03-22,England,New Zealand,3,5,New Zealand,172,6,52,1,0,0,New Zealand,field
Shere Bangla National Stadium,2014-03-23,Australia,Pakistan,2,7,Pakistan,175,10,191,5,0,0,Australia,field
Shere Bangla National Stadium,2014-03-23,India,West Indies,1,6,India,130,3,129,7,0,1,India,field
Zahur Ahmed Chowdhury Stadium,2014-03-24,New Zealand,South Africa,5,4,South Africa,168,8,170,6,0,0,New Zealand,field
Zahur Ahmed Chowdhury Stadium,2014-03-24,Netherlands,Sri Lanka,15,8,Sri Lanka,39,10,40,1,0,0,Sri Lanka,field
Shere Bangla National Stadium,2014-03-25,Bangladesh,West Indies,9,6,West Indies,98,10,171,7,0,1,Bangladesh,field
Zahur Ahmed Chowdhury Stadium,2014-03-27,Netherlands,South Africa,15,4,South Africa,139,10,145,9,0,0,Netherlands,field
Zahur Ahmed Chowdhury Stadium,2014-03-27,England,Sri Lanka,3,8,England,190,4,189,4,0,0,England,field
Shere Bangla National Stadium,2014-03-28,Australia,West Indies,2,6,West Indies,178,8,179,4,0,1,Australia,bat
Shere Bangla National Stadium,2014-03-28,Bangladesh,India,9,1,India,138,7,141,2,0,0,India,field
Zahur Ahmed Chowdhury Stadium,2014-03-29,Netherlands,New Zealand,15,5,New Zealand,151,4,152,4,0,0,New Zealand,field
Zahur Ahmed Chowdhury Stadium,2014-03-29,England,South Africa,3,4,South Africa,193,7,196,5,0,0,England,field
Shere Bangla National Stadium,2014-03-30,Bangladesh,Pakistan,9,7,Pakistan,140,7,190,5,0,0,Pakistan,bat
Shere Bangla National Stadium,2014-03-30,Australia,India,2,1,India,86,10,159,7,0,0,Australia,field
Zahur Ahmed Chowdhury Stadium,2014-03-31,England,Netherlands,3,15,Netherlands,88,10,133,5,0,0,England,field
Zahur Ahmed Chowdhury Stadium,2014-03-31,New Zealand,Sri Lanka,5,8,Sri Lanka,60,9,119,10,0,0,New Zealand,field
Shere Bangla National Stadium,2014-04-01,Bangladesh,Australia,9,2,Australia,153,5,158,3,0,0,Bangladesh,bat
Shere Bangla National Stadium,2014-04-01,Pakistan,West Indies,7,6,West Indies,82,10,166,6,0,1,West Indies,bat
Shere Bangla National Stadium,2014-04-03,Sri Lanka,West Indies,8,6,Sri Lanka,160,6,80,4,0,1,Sri Lanka,bat
Shere Bangla National Stadium,2014-04-04,India,South Africa,1,4,India,176,4,172,4,0,0,South Africa,bat
Shere Bangla National Stadium,2014-04-06,India,Sri Lanka,1,8,Sri Lanka,130,4,134,4,0,0,Sri Lanka,field
New Wanderers Stadium,2013-11-20,South Africa,Pakistan,4,7,South Africa,153,7,60,2,0,0,Pakistan,field
Newlands,2013-11-22,South Africa,Pakistan,4,7,Pakistan,170,4,176,4,0,0,Pakistan,bat
Zahur Ahmed Chowdhury Stadium,2014-02-12,Bangladesh,Sri Lanka,9,8,Sri Lanka,166,7,168,7,0,0,Bangladesh,field
Zahur Ahmed Chowdhury Stadium,2014-02-14,Bangladesh,Sri Lanka,9,8,Sri Lanka,120,10,123,7,0,0,Bangladesh,bat
Sabina Park,2014-02-19,West Indies,Ireland,6,11,Ireland,116,8,117,4,1,0,West Indies,bat
Sabina Park,2014-02-21,West Indies,Ireland,6,11,West Indies,96,9,85,8,1,0,Ireland,field
Newlands,2015-01-09,South Africa,West Indies,4,6,West Indies,165,4,168,6,0,1,South Africa,bat
New Wanderers Stadium,2015-01-11,South Africa,West Indies,4,6,West Indies,231,7,236,6,0,1,West Indies,field
Dubai International Cricket Stadium,2014-10-05,Australia,Pakistan,2,7,Australia,97,4,96,9,0,0,Pakistan,bat
Windsor Park,2014-07-05,West Indies,New Zealand,6,5,New Zealand,132,8,117,4,1,0,New Zealand,field
Windsor Park,2014-07-06,West Indies,New Zealand,6,5,West Indies,165,6,126,10,1,0,New Zealand,field
Warner Park,2014-08-27,West Indies,Bangladesh,6,9,,0,0,31,0,1,0,Bangladesh,bat
Kingsmead,2015-01-14,South Africa,West Indies,4,6,South Africa,195,3,126,10,0,1,West Indies,field
Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan,5,7,Pakistan,135,7,140,3,0,0,Pakistan,field
Old Trafford,2015-06-23,England,New Zealand,3,5,England,191,7,135,10,0,0,England,bat
Sophia Gardens,2015-08-31,England,Australia,3,2,England,182,5,177,8,0,0,Australia,field
Dubai International Cricket Stadium,2014-12-05,New Zealand,Pakistan,5,7,New Zealand,144,8,127,10,0,0,Pakistan,field
Adelaide Oval,2014-11-05,Australia,South Africa,2,4,South Africa,144,6,145,3,0,0,Australia,bat
Melbourne Cricket Ground,2014-11-07,Australia,South Africa,2,4,Australia,102,3,101,7,0,0,South Africa,bat
Stadium Australia,2014-11-09,Australia,South Africa,2,4,Australia,146,8,145,6,0,0,Australia,field
Newlands,2016-02-19,South Africa,England,4,3,South Africa,135,7,134,8,0,0,South Africa,field
New Wanderers Stadium,2016-02-21,South Africa,England,4,3,South Africa,172,1,171,10,0,0,South Africa,field
Shere Bangla National Stadium,2015-07-05,Bangladesh,South Africa,9,4,South Africa,96,10,148,4,0,0,South Africa,bat
Shere Bangla National Stadium,2015-07-07,Bangladesh,South Africa,9,4,South Africa,138,10,169,4,0,0,South Africa,bat
Kingsmead,2015-08-14,South Africa,New Zealand,4,5,South Africa,152,4,151,8,0,0,South Africa,field
SuperSport Park,2015-08-16,South Africa,New Zealand,4,5,New Zealand,145,8,177,7,0,0,New Zealand,bat
Shere Bangla National Stadium,2015-04-24,Bangladesh,Pakistan,9,7,Bangladesh,143,3,141,5,0,0,Pakistan,bat
R Premadasa Stadium,2015-07-30,Sri Lanka,Pakistan,8,7,Pakistan,146,7,175,5,0,0,Pakistan,bat
R Premadasa Stadium,2015-08-01,Sri Lanka,Pakistan,8,7,Pakistan,172,7,174,9,0,0,Sri Lanka,bat
Grange Cricket Club Ground,2015-07-09,Afghanistan,Netherlands,10,15,Afghanistan,162,7,130,10,0,0,Netherlands,field
Grange Cricket Club Ground,2015-07-11,Scotland,Netherlands,13,15,Netherlands,159,10,191,6,0,0,Netherlands,bat
Grange Cricket Club Ground,2015-07-12,Scotland,Afghanistan,13,10,Afghanistan,173,10,210,5,0,0,Afghanistan,bat
Civil Service Cricket Club,2015-07-13,Nepal,Ireland,17,11,Ireland,53,10,54,2,0,0,Ireland,field
Civil Service Cricket Club,2015-07-15,Ireland,Papua New Guinea,11,20,Papua New Guinea,123,9,124,8,0,0,Ireland,bat
The Village,2015-07-17,Nepal,Papua New Guinea,17,20,Papua New Guinea,93,10,99,2,0,0,Papua New Guinea,field
The Village,2015-07-23,Afghanistan,Papua New Guinea,10,20,Afghanistan,128,4,127,6,0,0,Papua New Guinea,bat
Clontarf Cricket Club Ground,2015-07-25,Afghanistan,Oman,10,18,Afghanistan,130,5,127,9,0,0,Afghanistan,field
The Village,2015-07-25,Ireland,Netherlands,11,15,Netherlands,128,10,129,5,0,0,Netherlands,field
VRA Ground,2015-07-01,Netherlands,Nepal,15,17,Netherlands,172,4,69,10,0,0,Nepal,field
Hazelaarweg,2015-07-02,Netherlands,Nepal,15,17,Netherlands,149,6,131,9,0,0,Netherlands,bat
Kingsmead,2016-03-04,South Africa,Australia,4,2,South Africa,158,7,157,9,0,0,Australia,bat
New Wanderers Stadium,2016-03-06,South Africa,Australia,4,2,Australia,204,7,205,5,0,0,Australia,field
Newlands,2016-03-09,South Africa,Australia,4,2,Australia,178,4,181,4,0,0,South Africa,bat
Bready Cricket Club,2015-06-20,Ireland,Scotland,11,13,Scotland,166,6,167,4,0,0,Scotland,field
Adelaide Oval,2016-01-26,Australia,India,2,1,India,151,10,188,3,0,0,Australia,field
Melbourne Cricket Ground,2016-01-29,Australia,India,2,1,India,157,8,184,3,0,0,Australia,field
Sydney Cricket Ground,2016-01-31,Australia,India,2,1,India,197,5,200,3,0,0,Australia,bat
Dubai International Cricket Stadium,2015-11-26,England,Pakistan,3,7,England,160,5,146,10,0,0,England,bat
Dubai International Cricket Stadium,2015-11-27,England,Pakistan,3,7,England,172,8,169,8,0,0,England,bat
Sharjah Cricket Stadium,2015-11-30,England,Pakistan,3,7,,158,8,157,8,0,0,England,bat
Himachal Pradesh Cricket Association Stadium,2015-10-02,India,South Africa,1,4,South Africa,199,5,200,3,0,0,South Africa,field
Barabati Stadium,2015-10-05,India,South Africa,1,4,South Africa,92,10,96,4,0,0,South Africa,field
The Rose Bowl,2016-07-05,England,Sri Lanka,3,8,England,144,2,140,10,0,0,Sri Lanka,bat
Old Trafford,2016-09-07,England,Pakistan,3,7,Pakistan,135,7,139,1,0,0,England,bat
Bay Oval,2016-01-07,New Zealand,Sri Lanka,5,8,New Zealand,182,4,179,9,0,0,Sri Lanka,field
Eden Park,2016-01-10,New Zealand,Sri Lanka,5,8,New Zealand,147,1,142,8,0,0,New Zealand,field
Eden Park,2016-01-15,New Zealand,Pakistan,5,7,Pakistan,155,10,171,8,0,0,New Zealand,field
Seddon Park,2016-01-17,New Zealand,Pakistan,5,7,New Zealand,171,0,168,7,0,0,Pakistan,bat
Westpac Stadium,2016-01-22,New Zealand,Pakistan,5,7,New Zealand,196,6,101,10,0,0,Pakistan,field
Pallekele International Cricket Stadium,2015-11-09,Sri Lanka,West Indies,8,6,Sri Lanka,215,3,185,10,0,1,West Indies,field
R Premadasa Stadium,2015-11-11,Sri Lanka,West Indies,8,6,West Indies,139,10,162,6,0,1,West Indies,bat
Sheikh Zayed Stadium,2015-11-30,Afghanistan,Oman,10,18,Afghanistan,160,4,148,8,0,0,Oman,field
SuperSport Park,2017-01-20,South Africa,Sri Lanka,4,8,South Africa,126,5,107,6,0,0,Sri Lanka,field
New Wanderers Stadium,2017-01-22,South Africa,Sri Lanka,4,8,Sri Lanka,113,10,119,7,0,0,South Africa,bat
